anomaly_score_threshold,accuracy,true_positives,true_negatives,false_psoitives,false_negatives
10,0.642968187161111,30.7248322147651,12829.2818791946,7140.9932885906,0
15,0.783822889392443,30.7248322147651,15646.5167785235,4323.75838926175,0
20,0.846981476429535,30.7248322147651,16909.7516778523,3060.52348993289,0
25,0.88259412532729,30.3355704697987,17622.4295302013,2347.84563758389,0.389261744966443
30,0.905642301777529,29.6308724832215,18084.1208053691,1886.15436241611,1.09395973154362
35,0.922361264487111,29.1208053691275,18419.0268456376,1551.24832214765,1.60402684563758
40,0.934734806883817,28.7046979865772,18666.9261744966,1303.34899328859,2.02013422818792
45,0.943968237829719,28.5436241610738,18851.7651006711,1118.51006711409,2.18120805369127
50,0.951234317478757,28,18997.6375838926,972.637583892618,2.7248322147651
55,0.956976647811905,27.2147651006711,19113.2751677852,857,3.51006711409396
60,0.961311330406634,26.5302013422819,19200.6577181208,769.61744966443,4.19463087248322
65,0.964931619190853,25.9530201342282,19273.644295302,696.630872483222,4.77181208053691
70,0.968038175272444,25.2281879194631,19336.5033557047,633.771812080537,5.49664429530201
75,0.97069777383614,24.4295302013423,19390.4966442953,579.778523489933,6.29530201342282
80,0.972944641358536,23.8187919463087,19436.0469798658,534.228187919463,6.90604026845638
85,0.974908301564788,23.2013422818792,19475.9395973154,494.335570469799,7.52348993288591
90,0.976895114975795,22.7919463087248,19516.0872483221,454.187919463088,7.93288590604027
95,0.978580601171284,22.3020134228188,19550.288590604,419.986577181208,8.42281879194631
100,0.980006033255384,21.6912751677852,19579.4093959732,390.865771812081,9.03355704697987
105,0.981212013224842,21,19604.2214765101,366.053691275168,9.72483221476511
110,0.982313971549745,20.3221476510067,19626.9395973155,343.335570469799,10.4026845637584
115,0.98332600148516,19.7785234899329,19647.7248322148,322.55033557047,10.9463087248322
120,0.984207836588036,19.3221476510067,19665.8187919463,304.456375838926,11.4026845637584
125,0.984965181271137,18.8120805369128,19681.4765100671,288.798657718121,11.9127516778523
130,0.985703399393789,18.3489932885906,19696.7046979866,273.570469798658,12.3758389261745
135,0.986403699949231,18,19711.0604026846,259.214765100671,12.7248322147651
140,0.987010381024572,17.6174496644295,19723.577181208,246.697986577181,13.1073825503356
145,0.98754793803934,17.1879194630872,19734.7583892618,235.51677852349,13.5369127516778
150,0.988031470909676,16.7986577181208,19744.8187919463,225.456375838926,13.9261744966443
155,0.988485139501414,16.4295302013423,19754.2617449664,216.013422818792,14.2953020134228
160,0.988903239401788,16.0671140939597,19762.9865771812,207.288590604027,14.6577181208054
165,0.989268992926193,15.8053691275168,19770.5637583893,199.711409395973,14.9194630872483
170,0.989642799739208,15.5973154362416,19778.2483221476,192.026845637584,15.1275167785235
175,0.989966609052098,15.3758389261745,19784.9463087248,185.328859060403,15.3489932885906
180,0.99029243168714,15.0536912751678,19791.7852348993,178.489932885906,15.6711409395973
185,0.990602483298654,14.744966442953,19798.2953020134,171.979865771812,15.9798657718121
190,0.990904817175249,14.4161073825503,19804.6711409396,165.604026845638,16.3087248322148
195,0.991180977863859,14.1342281879195,19810.4765100671,159.798657718121,16.5906040268456
200,0.991428280934947,13.7651006711409,19815.7919463087,154.48322147651,16.9597315436242
205,0.991689341707412,13.503355704698,19821.2751677852,149,17.2214765100671
210,0.991904767177748,13.2013422818792,19825.8859060403,144.389261744966,17.5234899328859
215,0.992098381658098,12.9261744966443,19830.033557047,140.241610738255,17.7986577181208
220,0.992281929527685,12.6577181208054,19833.9731543624,136.302013422819,18.0671140939597
225,0.9924557463402,12.4496644295302,19837.6577181208,132.617449664429,18.2751677852349
230,0.99263660978025,12.2214765100671,19841.5033557047,128.771812080537,18.503355704698
235,0.992815459898146,12.0536912751678,19845.2483221477,125.026845637584,18.6711409395973
240,0.992978538992513,11.8523489932886,19848.711409396,121.563758389262,18.8724832214765
245,0.993141953640573,11.6577181208054,19852.1744966443,118.10067114094,19.0671140939597
250,0.993280201761724,11.4295302013423,19855.1677852349,115.107382550336,19.2953020134228
255,0.993426503171486,11.2953020134228,19858.2281879195,112.046979865772,19.4295302013423
260,0.993559382433563,11.1409395973154,19861.0402684564,109.234899328859,19.5838926174497
265,0.993685215068106,10.9395973154362,19863.7583892618,106.51677852349,19.7852348993289
270,0.993799638877116,10.7919463087248,19866.1946308725,104.080536912752,19.9328859060403
275,0.993921109313662,10.6510067114094,19868.7651006711,101.510067114094,20.0738255033557
280,0.994031170924675,10.4496644295302,19871.1677852349,99.1073825503356,20.2751677852349
285,0.994136870337692,10.3087248322148,19873.422818792,96.8523489932886,20.4161073825503
290,0.994232167586252,10.1409395973154,19875.4966442953,94.7785234899329,20.5838926174496
295,0.994337195891884,10.0335570469799,19877.7046979866,92.5704697986577,20.6912751677852
300,0.994435177569981,9.8993288590604,19879.7986577181,90.4765100671141,20.8255033557047
305,0.994523092637315,9.751677852349,19881.7046979866,88.5704697986577,20.9731543624161
310,0.994613356580493,9.5973154362416,19883.6644295302,86.6107382550335,21.1275167785235
315,0.994692882805524,9.43624161073826,19885.4161073825,84.8590604026846,21.2885906040268
320,0.994776100121168,9.32214765100671,19887.1946308725,83.0805369127517,21.4026845637584
325,0.994846566396512,9.19463087248322,19888.7315436242,81.5436241610738,21.5302013422819
330,0.994930454819541,9.09395973154362,19890.5100671141,79.7651006711409,21.6308724832215
335,0.995007296615035,9.04026845637584,19892.1006711409,78.1744966442953,21.6845637583893
340,0.995083467303145,8.93959731543624,19893.7248322148,76.5503355704698,21.7852348993289
345,0.995165677957713,8.83892617449665,19895.4697986577,74.8053691275168,21.8859060402684
350,0.995235473125673,8.81208053691275,19896.8926174497,73.3825503355705,21.9127516778524
355,0.995299563880868,8.73154362416107,19898.2550335571,72.0201342281879,21.993288590604
360,0.995355265793758,8.67785234899329,19899.422818792,70.8523489932886,22.0469798657718
365,0.995419020995259,8.63758389261745,19900.7382550336,69.5369127516778,22.0872483221477
370,0.995481433981992,8.56375838926174,19902.0604026846,68.2147651006712,22.1610738255034
375,0.995534451465346,8.48993288590604,19903.1946308725,67.0805369127517,22.2348993288591
380,0.995584784519163,8.41610738255034,19904.2751677852,66,22.3087248322148
385,0.995635453126673,8.30872483221477,19905.3959731544,64.8791946308725,22.4161073825503
390,0.995688806163719,8.20134228187919,19906.5704697987,63.7046979865772,22.5234899328859
395,0.995743501415533,8.12080536912752,19907.744966443,62.5302013422819,22.6040268456376
400,0.995796183345196,8.04026845637584,19908.8791946309,61.3959731543624,22.6845637583893
405,0.995845174184245,7.95302013422819,19909.9463087248,60.3288590604027,22.7718120805369
410,0.995893829469601,7.89261744966443,19910.9798657718,59.2953020134228,22.8322147651007
415,0.995939464771728,7.81879194630873,19911.966442953,58.3087248322148,22.9060402684564
420,0.99598107342955,7.73825503355705,19912.8791946309,57.3959731543624,22.9865771812081
425,0.996025702070601,7.68456375838926,19913.8255033557,56.4496644295302,23.0402684563758
430,0.996068988496884,7.60402684563759,19914.7718120805,55.503355704698,23.1208053691275
435,0.996111268262091,7.54362416107383,19915.677852349,54.5973154362416,23.1812080536913
440,0.996153548027297,7.49664429530201,19916.5704697987,53.7046979865772,23.2281879194631
445,0.996190794487121,7.42953020134228,19917.3825503356,52.8926174496644,23.2953020134228
450,0.996224685410025,7.39597315436242,19918.0939597315,52.1812080536913,23.3288590604027
455,0.996261931869849,7.32214765100671,19918.9127516779,51.3624161073826,23.4026845637584
460,0.996300520544443,7.26174496644295,19919.744966443,50.5302013422819,23.4630872483222
465,0.996336760343191,7.2013422818792,19920.5302013423,49.744966442953,23.5234899328859
470,0.996378369001013,7.16107382550336,19921.4026845638,48.8724832214765,23.5637583892617
475,0.996407226618535,7.14093959731543,19922,48.2751677852349,23.5838926174497
480,0.996434406467596,7.09395973154362,19922.5906040269,47.6845637583893,23.6308724832215
485,0.99646359963881,7.04697986577181,19923.2214765101,47.0536912751678,23.6778523489933
490,0.996496483900637,7.02013422818793,19923.9060402685,46.3691275167785,23.7046979865772
495,0.996534401467845,6.97986577181207,19924.7046979866,45.5704697986577,23.744966442953
500,0.996564936853828,6.94630872483222,19925.3489932886,44.9261744966443,23.7785234899329
505,0.996590774488121,6.91946308724833,19925.8926174497,44.3825503355705,23.8053691275168
510,0.996614598800262,6.89261744966443,19926.3959731544,43.8791946308725,23.8322147651007
515,0.996648489723165,6.86577181208053,19927.1006711409,43.1744966442953,23.8590604026846
520,0.996673320696381,6.81879194630873,19927.644295302,42.6308724832215,23.9060402684564
525,0.996701171652827,6.76510067114094,19928.2550335571,42.0201342281879,23.9597315436242
530,0.996731707038809,6.73825503355705,19928.8926174497,41.3825503355705,23.986577181208
535,0.996756873565717,6.69127516778524,19929.4429530201,40.8322147651006,24.0335570469799
540,0.99678103343155,6.67114093959732,19929.9463087248,40.3288590604027,24.0536912751678
545,0.996804522189998,6.64429530201342,19930.4429530201,39.8322147651007,24.0805369127517
550,0.996828010948446,6.64429530201342,19930.9127516778,39.3624161073825,24.0805369127517
555,0.996854519690123,6.6241610738255,19931.4630872483,38.8120805369127,24.1006711409396
560,0.996874317357958,6.61073825503356,19931.8724832215,38.4026845637584,24.1140939597315
565,0.996899148331174,6.57046979865772,19932.4093959731,37.8657718120805,24.1543624161074
570,0.996922972643314,6.53691275167785,19932.9194630873,37.3557046979866,24.1879194630873
575,0.996945454740686,6.49664429530202,19933.4093959731,36.8657718120806,24.2281879194631
580,0.996967265730673,6.4496644295302,19933.8926174497,36.3825503355705,24.2751677852349
585,0.996989412274353,6.39597315436242,19934.389261745,35.8859060402684,24.3288590604027
590,0.997010887710648,6.36241610738255,19934.8523489933,35.4228187919463,24.3624161073826
595,0.99703504757648,6.31543624161074,19935.3825503356,34.8926174496644,24.4093959731543
